69059;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_M-04-20;M;20;;4.0;;2019-10-23/BASE_M-04-20
69060;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_M-05-20;M;20;;5.0;;2019-10-23/BASE_M-05-20
69061;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_M-06-20;M;20;;6.0;;2019-10-23/BASE_M-06-20
69062;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_M-07-20;M;20;;7.0;;2019-10-23/BASE_M-07-20
69063;252;252,86;252;253,5;67673;31;17097365,15;13;253,5;252;1071853;491;1613237;739;BASE;23.10.2019;BASE_Q-1-20;Q;20;1.0;;;2019-10-23/BASE_Q-1-20
69064;;267,25;;;;;;;266,5;268;24024;11;30576;14;BASE;23.10.2019;BASE_Q-2-20;Q;20;2.0;;;2019-10-23/BASE_Q-2-20
69065;;279,25;;;;;;;278,5;279,5;11040;5;15456;7;BASE;23.10.2019;BASE_Q-3-20;Q;20;3.0;;;2019-10-23/BASE_Q-3-20
69066;;256,25;;;;;;;255,5;257;8836;4;11045;5;BASE;23.10.2019;BASE_Q-4-20;Q;20;4.0;;;2019-10-23/BASE_Q-4-20
69067;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_Q-1-21;Q;21;1.0;;;2019-10-23/BASE_Q-1-21
69068;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_Q-2-21;Q;21;2.0;;;2019-10-23/BASE_Q-2-21
69069;264,75;265;263,75;265,5;729072;83;192917721,6;64;265,5;264;68638176;7814;114560928;13042;BASE;23.10.2019;BASE_Y-20;Y;20;;;;2019-10-23/BASE_Y-20
69070;268;268;268;268,5;201480;23;54005400;20;268;268;9872520;1127;12947280;1478;BASE;23.10.2019;BASE_Y-21;Y;21;;;;2019-10-23/BASE_Y-21
69071;265;265;265;265;70080;8;18571200;8;265;265;1436640;164;1533000;175;BASE;23.10.2019;BASE_Y-22;Y;22;;;;2019-10-23/BASE_Y-22
